@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
17860, -8065, 25925, 3746, 5.50911348483, 59400.0266341, talking
27815, -9506, 37321, 4392, 5.6280643549, 68775.9451306, talking
27815, -9586, 37401, 4464, 5.76625164345, 67943.789492, talking
16228, -9586, 25814, 3997, 5.75025164345, 59520.918124, talking
16228, -12035, 28263, 4044, 5.5800643549, 61632.2335011, talking
17108, -12035, 29143, 4103, 5.9027672943, 62559.1697361, talking
17108, -11923, 29031, 4023, 5.73059136638, 61110.3488987, talking
20340, -12355, 32695, 4352, 5.42619765692, 64541.7315557, talking
30455, -16852, 47307, 4232, 5.56471716998, 69673.8326678, talking
30455, -16852, 47307, 4239, 5.66763994811, 68053.9272554, talking
28070, -9330, 37400, 4051, 5.6726203981, 63986.2123879, talking
18228, -10610, 28838, 3777, 5.46125887643, 60478.4348258, talking
16948, -10610, 27558, 3809, 5.42125887643, 59883.674356, talking
15940, -13796, 29736, 3840, 5.58202525488, 59650.1402448, talking
17812, -13796, 31608, 3995, 5.70659136638, 59632.1456971, talking
17812, -14595, 32407, 3931, 5.6280643549, 58844.5945027, talking
21061, -14595, 35656, 3845, 5.49809393482, 59392.3615717, talking
21061, -11923, 32984, 4192, 5.76927119345, 64810.2994161, talking
23525, -11923, 35448, 4467, 5.84072819428, 65929.9275802, talking
27078, -15107, 42185, 4609, 5.63514920904, 65680.2999075, talking
27078, -15107, 42185, 4185, 5.62763994811, 63130.1949694, talking
19492, -11026, 30518, 3981, 5.76127119345, 57707.8967934, talking
19492, -12787, 32279, 4607, 5.66412965904, 64194.9330821, talking
19108, -13651, 32759, 4600, 5.71514920904, 67558.0972889, talking
16820, -13651, 30471, 4320, 5.92578956824, 63510.98358, talking
16820, -13395, 30215, 4111, 5.87778956824, 57465.1608691, talking
15572, -13395, 28967, 3914, 5.47409393482, 57966.7240642, talking
15572, -15636, 31208, 3946, 5.4292391535, 60810.8518823, talking
23637, -15636, 39273, 4163, 5.58540363323, 66387.8191827, talking
23637, -13267, 36904, 4204, 5.47419765692, 65969.6748824, talking
20901, -25030, 45931, 4506, 5.58071716998, 72717.1750384, talking
19829, -25030, 44859, 4471, 5.6406203981, 70213.0720167, talking
23526, -13204, 36730, 4118, 5.53740363323, 62113.2232443, talking
23526, -22741, 46267, 3871, 5.45321720693, 62983.8576533, talking
20949, -22741, 43690, 3566, 5.4212391535, 59671.3164957, talking
18517, -13363, 31880, 3648, 5.52494703563, 56319.2421292, talking
18517, -13363, 31880, 3814, 5.78065333372, 62195.5607639, talking
22229, -12274, 34503, 4354, 6.03533596346, 71011.4386667, talking
22229, -51196, 73425, 5228, 6.13623655271, 86555.1326112, talking
18101, -51196, 69297, 4621, 6.36849019393, 79953.1601542, talking
18101, -11267, 29368, 3798, 6.58844559829, 57558.3886642, talking
15204, -11523, 26727, 3807, 6.81045193451, 54293.6266844, talking
18340, -11523, 29863, 3886, 6.70530115522, 58532.0899937, talking
18340, -47867, 66207, 4530, 6.51791723211, 79268.2758605, talking
50236, -47867, 98103, 4960, 6.48584626142, 92371.0514615, talking
50236, -8177, 58413, 4307, 6.459441425, 73390.794246, talking
17461, -14308, 31769, 4099, 6.33362572427, 56124.9778008, talking
17461, -14308, 31769, 4181, 6.34464527428, 58020.2571172, talking
