@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
19636, -19268, 38904, 3563, 6.35918994989, 77741.0143929, talking
22437, -19268, 41705, 4104, 6.30055226636, 84537.0208224, talking
22437, -15363, 37800, 4064, 6.28985917456, 84926.8226058, talking
19892, -15363, 35255, 3873, 6.40005980637, 82483.0287654, talking
24038, -17780, 41818, 3798, 6.27220883516, 79182.8348562, talking
24038, -17780, 41818, 3825, 6.42568017489, 81373.0269441, talking
22821, -16244, 39065, 3913, 6.49869969236, 86768.5802921, talking
21493, -16244, 37737, 3814, 6.45466062488, 83631.7387453, talking
18292, -16340, 34632, 3668, 6.50523426949, 81817.5982167, talking
20917, -16340, 37257, 3433, 6.34593880212, 77259.4142028, talking
28118, -10962, 39080, 3562, 6.27957181637, 77457.2543269, talking
28679, -14323, 43002, 3970, 6.43770864427, 84645.0207556, talking
28679, -19189, 47868, 4436, 6.54286544555, 96474.8848796, talking
19780, -19189, 38969, 4408, 6.53516616902, 93999.0003078, talking
15764, -14915, 30679, 3782, 6.42858913138, 81250.8293178, talking
18852, -13524, 32376, 3775, 6.27904249135, 79078.7524174, talking
18852, -13524, 32376, 3806, 6.39197790213, 78889.6283038, talking
28823, -11218, 40041, 3829, 6.57116616902, 83967.7096742, talking
28823, -16148, 44971, 4061, 6.5062094999, 90987.5523877, talking
22838, -33336, 56174, 4251, 6.29202294134, 92307.2693278, talking
22838, -33336, 56174, 4332, 6.21251547988, 95902.0773632, talking
21957, -24742, 46699, 4168, 6.33201281249, 89956.8506352, talking
18453, -9714, 28167, 3718, 6.28055226636, 75364.5818835, talking
15748, -21301, 37049, 3366, 6.13218784497, 73321.2496638, talking
19173, -21301, 40474, 3749, 6.54523426949, 82908.4746147, talking
19173, -11362, 30535, 3996, 6.83379243457, 82043.5533475, talking
20277, -15587, 35864, 3903, 6.75537215326, 82011.111761, talking
27751, -15587, 43338, 3905, 6.50368014235, 80478.045552, talking
27751, -11235, 38986, 3868, 6.42216310872, 77715.8003954, talking
17364, -11411, 28775, 3926, 6.37836862895, 82649.9042418, talking
22422, -30711, 53133, 3977, 6.14355868639, 89135.0151304, talking
22422, -30711, 53133, 3819, 6.03569688164, 86241.6487401, talking
20196, -10162, 30358, 3506, 6.00219765692, 77807.9767407, talking
20453, -14388, 34841, 3522, 6.19858129808, 78729.538408, talking
20453, -14388, 34841, 3693, 6.33207817595, 77641.449445, talking
28262, -12851, 41113, 3838, 6.34387840395, 84169.056023, talking
28262, -12851, 41113, 3908, 6.26722838517, 85633.8610881, talking
24453, -18596, 43049, 3620, 6.15070304491, 79110.3525923, talking
17988, -18596, 36584, 3662, 6.27255226636, 77518.6753132, talking
17988, -11970, 29958, 3777, 6.22638336789, 82498.2764786, talking
22213, -14259, 36472, 3649, 6.26606204136, 82026.0719112, talking
22213, -14259, 36472, 3507, 6.27038336789, 78122.3850162, talking
18148, -10883, 29031, 3630, 6.01622620666, 77281.047024, talking
18148, -11459, 29607, 3644, 6.03268788192, 77478.7912999, talking
16259, -11826, 28085, 3580, 6.19900570488, 78070.1856085, talking
19316, -11826, 31142, 3667, 6.34021254343, 79517.0422751, talking
19316, -10163, 29479, 3638, 6.19529197049, 80215.6882668, talking
20613, -15540, 36153, 3934, 6.05162426925, 88162.2357687, talking
20613, -16276, 36889, 4037, 6.1370684614, 93517.1929684, talking
