@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {rest,clenched}

@DATA
12499, 0, 12499, 2742, 2742, clenched
12595, 0, 12595, 2535, 2535, clenched
12595, 0, 12595, 2256, 2256, clenched
12515, 0, 12515, 2407, 2407, clenched
11698, 0, 11698, 2626, 2626, clenched
11698, 0, 11698, 2113, 2113, clenched
11378, 0, 11378, 2043, 2043, clenched
11394, 0, 11394, 2463, 2463, clenched
11394, 0, 11394, 2416, 2416, clenched
10962, 0, 10962, 1912, 1912, clenched
10402, 0, 10402, 1820, 1820, clenched
9202, 0, 9202, 2106, 2106, clenched
9202, 0, 9202, 1846, 1846, clenched
8001, 0, 8001, 1434, 1434, clenched
8290, 0, 8290, 1516, 1516, clenched
8290, 0, 8290, 1765, 1765, clenched
8514, 0, 8514, 1623, 1623, clenched
8514, 0, 8514, 1530, 1530, clenched
6497, 0, 6497, 1520, 1520, clenched
6929, 0, 6929, 1610, 1610, clenched
6929, 0, 6929, 1309, 1309, clenched
6369, 0, 6369, 1134, 1134, clenched
6513, 0, 6513, 1432, 1432, clenched
6513, 0, 6513, 1218, 1218, clenched
4497, 0, 4497, 965, 965, clenched
5249, 0, 5249, 1075, 1075, clenched
5537, 0, 5537, 1242, 1242, clenched
5537, 0, 5537, 1171, 1171, clenched
4881, 0, 4881, 1098, 1098, clenched
4833, 0, 4833, 1029, 1029, clenched
4609, 0, 4609, 860, 860, clenched
3408, 0, 3408, 673, 673, clenched
3408, 0, 3408, 752, 752, clenched
4032, 0, 4032, 951, 951, clenched
4177, 0, 4177, 1006, 1006, clenched
4177, 0, 4177, 911, 911, clenched
4225, 0, 4225, 769, 769, clenched
4225, 0, 4225, 743, 743, clenched
2272, 0, 2272, 607, 607, clenched
2128, 0, 2128, 632, 632, clenched
2320, 0, 2320, 662, 662, clenched
2320, 0, 2320, 558, 558, clenched
1744, 0, 1744, 540, 540, clenched
1744, 0, 1744, 563, 563, clenched
