@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {rest,clenched}

@DATA
40329, 736, 39593, 7223, 7223, rest
40329, 736, 39593, 8018, 8018, rest
40265, 960, 39305, 6476, 6476, rest
40409, 1040, 39369, 6425, 6425, rest
40409, 1120, 39289, 7962, 7962, rest
400570, 0, 400570, 22725, 22725, rest
400570, 0, 400570, 18069, 18069, rest
1200, 0, 1200, 214, 214, rest
1360, 0, 1360, 185, 185, rest
3664, 0, 3664, 295, 295, rest
3664, 0, 3664, 309, 309, rest
1056, 0, 1056, 197, 197, rest
1216, 0, 1216, 171, 171, rest
1216, 0, 1216, 171, 171, rest
1200, 0, 1200, 204, 204, rest
1200, 0, 1200, 201, 201, rest
1392, 0, 1392, 193, 193, rest
1392, 0, 1392, 207, 207, rest
1296, 0, 1296, 234, 234, rest
1344, 0, 1344, 197, 197, rest
1344, 0, 1344, 184, 184, rest
1376, 0, 1376, 231, 231, rest
1376, 0, 1376, 256, 256, rest
1344, 0, 1344, 218, 218, rest
1344, 0, 1344, 192, 192, rest
1456, 0, 1456, 240, 240, rest
1456, 0, 1456, 224, 224, rest
1216, 0, 1216, 205, 205, rest
1424, 0, 1424, 281, 281, rest
1424, 0, 1424, 314, 314, rest
1536, 0, 1536, 251, 251, rest
1536, 0, 1536, 244, 244, rest
1376, 0, 1376, 285, 285, rest
1664, 0, 1664, 311, 311, rest
1664, 0, 1664, 267, 267, rest
1536, 0, 1536, 320, 320, rest
1536, 0, 1536, 391, 391, rest
1536, 0, 1536, 290, 290, rest
1440, 0, 1440, 274, 274, rest
1424, 0, 1424, 267, 267, rest
1232, 0, 1232, 243, 243, rest
1424, 0, 1424, 229, 229, rest
1424, 0, 1424, 224, 224, rest
1360, 0, 1360, 243, 243, rest
1248, 0, 1248, 220, 220, rest
1248, 0, 1248, 226, 226, rest
1264, 0, 1264, 249, 249, rest
1312, 0, 1312, 261, 261, rest
1312, 0, 1312, 238, 238, rest
1232, 0, 1232, 227, 227, rest
1184, 0, 1184, 224, 224, rest
1184, 0, 1184, 216, 216, rest
1136, 0, 1136, 177, 177, rest
1312, 0, 1312, 206, 206, rest
1312, 0, 1312, 237, 237, rest
1152, 0, 1152, 221, 221, rest
1152, 0, 1152, 186, 186, rest
1136, 0, 1136, 183, 183, rest
1232, 0, 1232, 237, 237, rest
1232, 0, 1232, 211, 211, rest
1392, 0, 1392, 220, 220, rest
1392, 0, 1392, 234, 234, rest
1072, 0, 1072, 227, 227, rest
1104, 0, 1104, 204, 204, rest
1280, 0, 1280, 208, 208, rest
1344, 0, 1344, 255, 255, rest
1344, 0, 1344, 252, 252, rest
1280, 0, 1280, 188, 188, rest
1280, 0, 1280, 177, 177, rest
1296, 0, 1296, 238, 238, rest
1296, 0, 1296, 224, 224, rest
1152, 0, 1152, 202, 202, rest
