@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, chewing, swallow}

@DATA
12947, 12435, 512, 18, 4.74818186764, talking
12947, 12627, 320, 17, 4.11097301915, talking
13059, 12723, 336, 14, 4.15076015893, talking
13187, 12771, 416, 14, 4.5935013003, talking
13187, 12675, 512, 17, 4.64265997918, talking
12915, 12579, 336, 18, 4.1116669893, talking
12803, 12323, 480, 15, 4.32541702626, talking
12803, 12323, 480, 14, 4.24262622084, talking
12659, 12323, 336, 14, 4.0032470398, talking
12835, 12419, 416, 17, 4.25707999047, talking
12835, 12034, 801, 18, 4.72916400609, talking
12835, 11074, 1761, 17, 6.26220353701, talking
12050, 10770, 1280, 15, 5.82262296068, talking
11090, 10594, 496, 16, 4.69268044881, talking
13011, 10594, 2417, 20, 5.42291926318, talking
15107, 10642, 4465, 23, 7.22605247263, talking
15539, 13059, 2480, 17, 6.1053753851, talking
15667, 15107, 560, 14, 4.32349549464, talking
15987, 15443, 544, 13, 4.93297534983, talking
16468, 15635, 833, 13, 5.51528797351, talking
16932, 15971, 961, 13, 5.71580742604, talking
17124, 16468, 656, 15, 5.10653249985, talking
17124, 16820, 304, 14, 4.01916942644, talking
17060, 16772, 288, 14, 3.92043395753, talking
17044, 16772, 272, 15, 3.7528714695, talking
17172, 16804, 368, 15, 4.43847704355, talking
17508, 16996, 512, 16, 4.71927873162, talking
18100, 17140, 960, 15, 5.65684071988, talking
18708, 17492, 1216, 14, 5.98899417552, talking
18852, 18100, 752, 14, 5.03782742361, talking
19076, 18660, 416, 15, 4.36034748289, talking
19220, 18804, 416, 16, 4.52736521588, talking
19348, 19028, 320, 15, 4.17749121325, talking
19348, 8482, 10866, 57, 4.36443756753, talking
9346, 8482, 864, 16, 5.26177256287, talking
9762, 8642, 1120, 15, 5.7989213031, talking
9906, 9330, 576, 13, 4.80444973264, talking
9906, 9746, 160, 13, 2.98258120458, talking
12034, 9746, 2288, 24, 3.39055761299, talking
61182, 9746, 51436, 249, 5.89562241795, talking
63471, 12339, 51132, 440, 7.87476473465, talking
63471, 16211, 47260, 302, 7.90978428466, talking
29575, 12819, 16756, 145, 7.69076473465, talking
17524, 12819, 4705, 102, 7.03209157265, talking
15731, 12611, 3120, 99, 6.89357481072, talking
18532, 12611, 5921, 104, 7.14615579883, talking
18532, 10498, 8034, 69, 7.56562788459, talking
13251, 9794, 3457, 20, 6.78792388932, talking
10482, 9618, 864, 15, 5.20789337623, talking
10402, 9602, 800, 21, 4.79127860374, talking
10402, 9602, 800, 22, 5.31249474896, talking
10242, 9618, 624, 22, 4.90880956053, talking
11026, 9618, 1408, 32, 5.76427093765, talking
12323, 9890, 2433, 48, 6.57149678714, talking
12323, 10322, 2001, 57, 6.28220605115, talking
12995, 10754, 2241, 66, 6.49597444905, talking
12995, 10898, 2097, 66, 6.35138217769, talking
12931, 10802, 2129, 61, 6.45624515117, talking
12947, 10802, 2145, 70, 6.47705822524, talking
12947, 10978, 1969, 65, 6.44846626128, talking
12835, 10978, 1857, 65, 6.485857149, talking
12979, 11026, 1953, 70, 6.45411687527, talking
13091, 11026, 2065, 72, 6.40651633715, talking
14275, 11058, 3217, 79, 6.98393517258, talking
14275, 11218, 3057, 75, 6.86639886064, talking
13459, 11218, 2241, 72, 6.65770326308, talking
13459, 11010, 2449, 74, 6.81487652256, talking
14643, 11010, 3633, 74, 7.15103292263, talking
14643, 11154, 3489, 76, 7.03601337262, talking
14243, 11042, 3201, 72, 6.95741841065, talking
14243, 10850, 3393, 67, 6.9340775988, talking
13459, 10850, 2609, 61, 6.54669786338, talking
13459, 10754, 2705, 66, 6.79977877251, talking
8946, 5505, 3441, 38, 6.86100797292, chewing
8145, 5489, 2656, 28, 6.53232947009, chewing
