@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, drink, swallow}

@DATA
4465, 4353, 112, 17, 2.40996496915, talking
4769, 4353, 416, 18, 3.98950607741, talking
4881, 4417, 464, 17, 4.55585028946, talking
4881, 4417, 464, 16, 4.41039414808, talking
4625, 4353, 272, 16, 3.9387603264, talking
4481, 4305, 176, 13, 2.82460725894, talking
4385, 4289, 96, 11, 2.1665674348, talking
4385, 4289, 96, 13, 2.19558051924, talking
4369, 4257, 112, 14, 2.6557034862, talking
4369, 4257, 112, 15, 2.62755473941, talking
4385, 4289, 96, 16, 2.26852143255, talking
4385, 4209, 176, 16, 3.03516014853, talking
4337, 4193, 144, 17, 2.70642781866, talking
4321, 4193, 128, 16, 2.37431230214, talking
4305, 4161, 144, 13, 2.70640961122, talking
4273, 4113, 160, 12, 2.86098987022, talking
4209, 4113, 96, 12, 2.0541736098, talking
4193, 4113, 80, 12, 2.01616488301, talking
4225, 4113, 112, 16, 2.55628507858, talking
4225, 4097, 128, 18, 2.68903447397, talking
4257, 4097, 160, 16, 2.86744772917, talking
4257, 4129, 128, 15, 2.67076956944, talking
4241, 4129, 112, 13, 2.38665195901, talking
4241, 4097, 144, 14, 2.8867092709, talking
4257, 4097, 160, 14, 2.9432884252, talking
4257, 4064, 193, 13, 3.26452943874, talking
4161, 4032, 129, 12, 2.25410850499, talking
4177, 4032, 145, 12, 2.41199737323, talking
4177, 4064, 113, 13, 2.07073383864, talking
4209, 4080, 129, 13, 2.86134479164, talking
4273, 4129, 144, 13, 3.07688697518, talking
4305, 4113, 192, 16, 2.97228220246, talking
4753, 4113, 640, 21, 3.78784997156, talking
4817, 4609, 208, 19, 3.26941670384, talking
4897, 4641, 256, 17, 3.4823838134, talking
4977, 4705, 272, 20, 3.44523396172, talking
5073, 4705, 368, 19, 4.06237768416, talking
5105, 4961, 144, 14, 2.75961566677, talking
5105, 5009, 96, 14, 1.95349503683, talking
5089, 5009, 80, 14, 2.00298959035, talking
5089, 4993, 96, 15, 2.24276446731, talking
5089, 4945, 144, 14, 2.4724277639, talking
5089, 4705, 384, 11, 4.10382642155, talking
4945, 4529, 416, 13, 4.56076509328, talking
4737, 4465, 272, 13, 3.80703833737, talking
4561, 4449, 112, 13, 2.24672683356, talking
4545, 4449, 96, 13, 1.91752800726, talking
4529, 4449, 80, 13, 2.13104613767, talking
4561, 4449, 112, 13, 2.59076144379, talking
4593, 4497, 96, 12, 2.33801777141, talking
5169, 4497, 672, 13, 4.0569422153, talking
5697, 4561, 1136, 16, 5.51724311299, talking
5697, 5153, 544, 15, 4.46838994117, talking
5665, 5297, 368, 14, 3.61775040109, talking
5761, 5313, 448, 16, 4.45650119678, talking
5761, 5265, 496, 16, 4.82239157524, talking
5537, 5169, 368, 14, 4.17743476161, talking
5297, 5153, 144, 13, 2.89382553442, talking
7265, 5153, 2112, 20, 4.74845863715, talking
7265, 5185, 2080, 24, 6.28592406578, talking
7089, 5489, 1600, 18, 6.17677690018, talking
6225, 5169, 1056, 14, 5.55564616901, talking
5521, 5089, 432, 14, 4.33776611629, talking
5249, 5025, 224, 14, 3.45602626792, talking
5153, 5009, 144, 12, 2.74852668689, talking
5121, 5009, 112, 13, 2.55651279282, talking
5153, 5009, 144, 14, 2.76277636745, talking
5377, 5025, 352, 16, 3.32954847509, talking
5985, 5025, 960, 17, 5.15488506996, talking
5985, 5361, 624, 17, 4.73539575519, talking
5905, 5409, 496, 16, 4.53224693316, talking
6049, 5409, 640, 17, 5.14486061845, talking
6049, 4449, 1600, 21, 5.86295997266, talking
5137, 4449, 688, 15, 5.05095651901, talking
5137, 4737, 400, 15, 4.38247452512, talking
4913, 4689, 224, 14, 3.56065258878, talking
4897, 4561, 336, 14, 4.1516143606, talking
5137, 4561, 576, 14, 4.75086013422, talking
5585, 4801, 784, 16, 4.85563691586, talking
5905, 5009, 896, 18, 5.26789732642, talking
7569, 5553, 2016, 25, 5.66543651862, talking
7569, 5537, 2032, 24, 6.46481264929, talking
6897, 5249, 1648, 17, 5.91114444332, talking
5617, 5233, 384, 16, 4.42648494185, talking
5985, 5233, 752, 18, 5.25670924667, talking
5985, 5489, 496, 20, 4.71385396558, talking
6705, 5489, 1216, 19, 5.82082943662, talking
6705, 5681, 1024, 16, 5.54151061666, talking
5985, 5489, 496, 13, 4.69920381767, talking
5729, 5425, 304, 11, 3.68935095939, talking
5505, 5377, 128, 12, 2.96747370901, talking
5489, 5169, 320, 15, 4.03311702759, talking
5393, 5169, 224, 17, 3.54323184009, talking
5329, 5169, 160, 17, 3.0494057424, talking
5329, 5073, 256, 16, 3.73307403863, talking
5217, 5025, 192, 14, 3.15590987604, talking
5361, 5025, 336, 15, 3.92346124979, talking
5457, 5089, 368, 15, 4.03408949728, talking
5457, 5313, 144, 14, 2.4564554851, talking
5697, 5345, 352, 14, 3.35568465046, talking
5697, 5345, 352, 17, 4.07672197605, talking
5665, 5425, 240, 17, 3.28450951672, talking
5553, 5393, 160, 16, 2.83790085654, talking
5521, 5361, 160, 14, 3.01971251311, talking
5457, 5329, 128, 15, 2.72294861599, talking
5441, 5313, 128, 16, 2.50589775813, talking
5425, 5313, 112, 16, 2.44630676601, talking
5425, 5313, 112, 15, 2.34863268882, talking
5393, 5297, 96, 13, 2.13323582836, talking
5393, 5297, 96, 14, 2.08309648647, talking
5425, 5313, 112, 14, 2.19717467106, talking
5457, 5329, 128, 12, 2.43597865141, talking
5697, 5361, 336, 13, 3.83319032926, talking
5697, 5377, 320, 13, 4.11581119452, talking
5665, 5313, 352, 13, 4.13301957817, talking
5441, 5281, 160, 14, 3.04174910469, talking
5393, 5281, 112, 15, 2.37794062432, talking
5361, 5265, 96, 14, 2.00750239671, talking
5361, 5265, 96, 16, 2.11417258914, talking
5473, 5265, 208, 18, 3.14612731842, talking
5473, 5313, 160, 15, 2.75439692752, talking
5425, 5313, 112, 12, 2.55509561305, talking
5521, 5329, 192, 12, 3.30879000982, talking
5585, 5393, 192, 12, 3.48399473153, talking
5649, 5489, 160, 12, 3.11319559987, talking
5649, 5553, 96, 14, 2.26200929498, talking
5729, 5585, 144, 15, 2.63041668252, talking
5729, 5601, 128, 16, 2.44206140482, talking
5713, 5569, 144, 16, 2.56775754731, talking
5665, 5569, 96, 14, 2.17274821559, talking
